ds,page_views,sessions,buy_box_percentage,feedback_received,negative_feedback_received,gross_sales,y
2020-01-05,"5,650,165","3,941,564",7.68,60,7,874520.18,4210
2020-01-12,"5,466,276","3,863,759",8.11,74,17,1643508.8,7795
2020-01-19,"5,442,702","3,820,073",8.23,66,10,1683537.43,7859
2020-01-26,"5,121,948","3,584,057",7.58,81,11,1688553.87,7462
2020-02-02,"4,980,342","3,488,286",7.46,59,11,1653936.85,7052
2020-02-09,"4,897,090","3,439,656",7.95,47,5,1556678.96,6682
2020-02-16,"5,437,429","3,799,564",7.57,45,3,1500104.45,6271
2020-02-23,"5,320,430","3,706,813",7.38,51,10,1601629.71,6577
2020-03-01,"5,148,293","3,596,613",6.76,54,9,1938867.15,8211
2020-03-08,"4,723,175","3,278,886",6.98,50,6,1714395.26,7127
2020-03-15,"4,889,043","3,363,307",6.49,37,5,1573906.6,6634
2020-03-22,"5,469,142","3,727,263",8.27,47,9,1526543.84,6791
2020-03-29,"5,668,548","3,866,820",11.25,58,10,2126010.92,9999
2020-04-05,"5,771,847","3,826,513",11.55,64,9,2190831.45,10553
2020-04-12,"7,390,649","4,889,545",11.79,72,13,2455416.11,12379
2020-04-19,"6,761,974","4,458,332",13.93,106,24,4022116.75,20184
2020-04-26,"6,286,161","4,172,048",13.14,114,22,3890776.18,19043
2020-05-03,"5,678,491","3,732,542",11.87,108,27,3628427.27,16829
2020-05-10,"5,668,790","3,803,922",12.88,106,35,2934397.25,13261
2020-05-17,"5,569,795","3,732,888",13.48,130,49,3092913.32,13689
2020-05-24,"5,197,645","3,492,596",13.22,112,28,3242538.18,14203
2020-05-31,"5,049,401","3,384,871",10.77,111,20,3060684.92,13282
2020-06-07,"5,162,037","3,460,020",10.50,122,28,2872235.72,13359
2020-06-14,"4,822,439","3,264,839",11.71,113,30,2418509.1,10315
2020-06-21,"4,705,341","3,183,230",12.70,114,28,2266914.22,9667
2020-06-28,"4,103,848","2,739,257",12.47,82,21,2442489.24,10999
2020-07-05,"4,975,639","3,317,519",11.22,65,21,2463247.61,10989
2020-07-12,"4,957,135","3,340,360",11.74,84,25,2155431.19,9398
2020-07-19,"5,100,341","3,443,074",10.81,73,17,2348928.62,10651
2020-07-26,"5,170,515","3,492,910",11.00,88,13,2377367.65,10869
2020-08-02,"5,389,097","3,572,999",11.83,61,16,2481576.11,10851
2020-08-09,"5,532,975","3,681,061",10.81,54,13,2753336.41,11159
2020-08-16,"5,576,964","3,759,186",10.10,72,14,2038361.56,8384
2020-08-23,"4,336,873","2,917,903",9.20,87,20,1966932.38,8368
2020-08-30,"5,018,040","3,386,511",8.92,53,11,1672547.1,6894
2020-09-06,"5,215,536","3,227,013",9.08,62,15,1662762.59,6337
2020-09-13,"5,804,911","3,158,309",8.62,69,21,1694393.39,6718
2020-09-20,"6,121,746","3,161,922",8.69,67,22,1622316.21,6498
2020-09-27,"4,470,611","3,002,153",8.80,71,11,1719690.2,6800
2020-10-04,"4,514,950","3,039,379",8.63,72,19,1980947.9,8017
2020-10-11,"5,851,169","3,963,998",7.66,61,14,1892499.8,7651
2020-10-18,"4,393,012","2,989,654",9.11,71,15,2524847.41,9809
2020-10-25,"4,514,085","2,929,662",8.70,62,14,1960265.6,7726
2020-11-01,"4,536,500","2,888,877",8.78,84,11,1901932.89,7744
2020-11-08,"4,950,303","3,136,999",9.02,125,24,1980775.76,8057
2020-11-15,"5,252,257","3,297,452",9.65,62,12,2258790.59,8856
2020-11-22,"5,453,524","3,404,560",10.88,37,5,2380108.84,9298
2020-11-29,"5,310,627","3,330,363",9.81,61,15,2763136.4,10763
2020-12-06,"4,766,659","3,030,405",9.22,72,17,2755915.33,10892
2020-12-13,"4,534,352","2,882,373",8.80,69,20,2279151.01,8716
2020-12-20,"3,876,034","2,467,469",9.74,47,11,1672237.29,6509
2020-12-27,"5,740,192","3,744,812",11.28,76,20,1273338.68,5036
2021-01-03,"5,620,541","3,702,502",9.97,55,9,1401885.7,5577
2021-01-10,"5,599,283","3,609,985",9.38,62,13,679529.57,2739
2021-01-17,"5,668,321","3,663,153",9.62,55,9,1951832.1,7658
2021-01-24,"5,514,217","3,555,502",10.31,69,11,1908565.12,7367
2021-01-31,"5,191,909","3,374,398",10.27,64,12,1921385.61,7461
2021-02-07,"4,773,207","3,203,445",10.07,68,11,2177418.7,8479
2021-02-14,"3,952,277","2,958,674",10.24,53,5,2269199.32,8598
2021-02-21,"3,975,636","2,973,207",9.49,54,11,1877401.06,7076
2021-02-28,"4,041,138","2,989,185",9.33,56,19,1852676.93,6923
2021-03-07,"4,030,311","2,986,209",9.44,49,13,2356843.3,8115
2021-03-14,"4,464,003","3,301,800",10.75,67,13,2291821.89,8577
2021-03-21,"4,129,601","3,001,704",11.10,66,21,2547338.48,9922
2021-03-28,"3,978,205","2,879,141",11.86,70,21,3779177.39,14397
2021-04-04,"3,772,533","2,707,436",11.77,82,22,3177971.22,12661
2021-04-11,"3,981,031","2,836,844",11.38,70,14,2736881.4,10233
2021-04-18,"3,968,401","2,847,091",10.91,113,19,2754666.4,9984
2021-04-25,"3,748,567","2,715,047",8.61,95,19,2802016.21,9832
2021-05-02,"3,488,776","2,524,888",0.00,115,15,2515901.27,8987
2021-05-09,"3,465,407","2,508,663",4.43,81,13,2294511.8,8389
2021-05-16,"3,659,873","2,645,357",8.33,44,6,1075053.05,3745
2021-05-23,"3,455,684","2,563,003",8.60,53,4,1310776.33,4577
2021-05-30,"3,387,421","2,568,234",8.97,66,6,1903672.15,6783
2021-06-06,"3,431,530","2,620,684",9.20,68,12,1922652.57,6600
2021-06-13,"3,626,836","2,803,845",10.58,70,10,1970644,6876
2021-06-20,"5,115,270","3,817,747",9.98,99,10,1993312.79,7428
2021-06-27,"3,835,146","2,954,293",11.48,71,5,2280672.38,8268
2021-07-04,"3,654,789","2,810,998",11.26,79,12,3043681.83,11302
2021-07-11,"3,800,921","2,905,309",11.00,85,13,2597407.22,9859
2021-07-18,"3,753,059","2,878,571",10.20,86,13,2446383.62,9108
2021-07-25,"3,823,216","2,935,612",10.39,67,17,2143599.03,8067
2021-08-01,"3,927,363","3,019,075",10.57,90,17,2372315.2,8424
2021-08-08,"3,909,878","2,998,854",10.66,79,13,2196054.46,7885
2021-08-15,"4,073,153","3,119,896",10.83,80,19,2341429.03,8316
2021-08-22,"4,075,783","3,118,824",11.65,98,25,2486756.43,9054
2021-08-29,"4,031,590","3,097,775",11.52,71,15,2673941.86,9615
2021-09-05,"4,087,199","3,127,738",11.38,84,23,2867135.12,10633
2021-09-12,"3,932,668","3,008,534",10.49,81,16,2801592.08,10501
2021-09-19,"4,009,523","3,047,039",9.90,104,28,2776293.09,9929
2021-09-26,"3,895,694","2,955,120",10.85,81,15,2647100.75,9695
2021-10-03,"2,383,871","1,809,803",10.99,65,10,2578788.55,9197
