ds,y
2020-01-05,4210
2020-01-12,7795
2020-01-19,7859
2020-01-26,7462
2020-02-02,7052
2020-02-09,6682
2020-02-16,6271
2020-02-23,6577
2020-03-01,8211
2020-03-08,7127
2020-03-15,6634
2020-03-22,6791
2020-03-29,9999
2020-04-05,10553
2020-04-12,12379
2020-04-19,20184
2020-04-26,19043
2020-05-03,16829
2020-05-10,13261
2020-05-17,13689
2020-05-24,14203
2020-05-31,13282
2020-06-07,13359
2020-06-14,10315
2020-06-21,9667
2020-06-28,10999
2020-07-05,10989
2020-07-12,9398
2020-07-19,10651
2020-07-26,10869
2020-08-02,10851
2020-08-09,11159
2020-08-16,8384
2020-08-23,8368
2020-08-30,6894
2020-09-06,6337
2020-09-13,6718
2020-09-20,6498
2020-09-27,6800
2020-10-04,8017
2020-10-11,7651
2020-10-18,9809
2020-10-25,7726
2020-11-01,7744
2020-11-08,8057
2020-11-15,8856
2020-11-22,9298
2020-11-29,10763
2020-12-06,10892
2020-12-13,8716
2020-12-20,6509
2020-12-27,5036
2021-01-03,5577
2021-01-10,2739
2021-01-17,7658
2021-01-24,7367
2021-01-31,7461
2021-02-07,8479
2021-02-14,8598
2021-02-21,7076
2021-02-28,6923
2021-03-07,8115
2021-03-14,8577
2021-03-21,9922
2021-03-28,14397
2021-04-04,12661
2021-04-11,10233
2021-04-18,9984
2021-04-25,9832
2021-05-02,8987
2021-05-09,8389
2021-05-16,3745
2021-05-23,4577
2021-05-30,6783
2021-06-06,6600
2021-06-13,6876
2021-06-20,7428
2021-06-27,8268
2021-07-04,11302
2021-07-11,9859
2021-07-18,9108
2021-07-25,8067
2021-08-01,8424
2021-08-08,7885
2021-08-15,8316
2021-08-22,9054
2021-08-29,9615
2021-09-05,10633
2021-09-12,10501
2021-09-19,9929
2021-09-26,9695
2021-10-03,9197
